PuzzleBoard	SolvedBoard
.......54.......1.1.4...29821.5.......9.1.5.......8.21461...9.5.2.......97.......	897321654652849713134765298216573489389412576745698321461287935528934167973156842
5..9...3....7.48.5.....3...9.6.7.3...3..4..6...2.1.5.8...1.....7.98.5....8...2..7	527981436693724815148653279916578342835249761472316598254197683769835124381462957
2.13.8.......7....78...2....5..83796.........47859..1....2...54....6.......7.53.8	241358967593671482786942531152483796639127845478596213817239654325864179964715328
..7..18..59.278.....1.395...........739.6.481...........672.9.....384.17..41..2..	247651893593278146681439572165847329739562481428913765816725934952384617374196258
......32732.......5.7..3.918.3.9.2566...3...8275.6.9.373.5..8.2.......39952......	194658327326917485587423691813794256649235178275861943731549862468172539952386714
...52.4..64..1.5.....76.8.38...5..74....4....47..3...89.4.71.....7.8..49..6.93...	739528416648319527521764893863952174195847362472136958984671235317285649256493781
....46..2...9..7.39.....4..2..63.187...8.5...687.14..9..9.....68.3..2...7..19....	138746592426958713975321468254639187391875624687214359519487236843562971762193845
...94.367..325.......63.5.2...8...1..1..6..5..8...5...2.5.76.......932..679.82...	521948367463257981897631542754829613312764859986315724235476198148593276679182435
...413...71..6..2..5.2...64.4...7.3.1.......9.9.3...8.58...2.4..7..4..12...781...	826413597714569328359278164648197235135826479297354681581932746973645812462781953
.17...36..6...38.....761..94.3......6.1.2.5.8......4.37..815.....92...8..82...75.	917482365264953817835761249423598671671324598598176423746815932359247186182639754
91.....8....4...6...2..9.7..473...28.2.5.8.4.83...275..9.2..6...5...7....7.....95	913765482785423961462819573547396128621578349839142756198254637256937814374681295
.5..476.9961.2.......9.......9....7.72.....58.3....1.......6.......1.7353.257..6.	253147689961823547874965213189652374726431958435798126517386492698214735342579861
71...8..65.....4..43....2..85.76..2...74.38...9..25.63..5....19..1.....89..1...42	712548936569372481438691257853769124627413895194825763375284619241956378986137542
4..5.......63...8.2...16.....8...543.62.3.89.347...6.....25...9.2...83.......4..8	481527936756349281293816475918672543562431897347985612874253169129768354635194728
5......81.7...4.5....5.8.7315........4.6.1.2........1626.9.7....8.3...6.73......2	592736481873124659614598273156279348348651927927843516265987134489312765731465892
....74.6.3..5.294.6.......2...8.6..5..4.2.8..7..9.5...4.......3.594.1..7.3.25....	982374561371562948645198372193846725564723819728915436417689253259431687836257194
..345.......2...6..92.6.......54.9.8...897...5.9.21.......8.35..4...2.......154..	863459721154273869792168543237546918416897235589321674671984352945732186328615497
.9.......5..2..9..61....24.165......7.96.24.1......869.56....87..1..8..4.......2.	892541736534276918617893245165984372789632451423715869356429187271358694948167523
....926....57....47.84..2..9.73.5...15.2.8.39...9.18.5..4..97.85....73....263....	431892657625713984798456213987345126156278439243961875314529768569187342872634591
.1...96.5..81..2....26..3.....46..2..4..9..1..9..38.....5..48....9..65..4.79...6.	714329685638145297952687341573461928846592713291738456165274839329816574487953162
..6....92732..5..4.......7.....6.....2.739.5.....5.....1.......6..2..34127....6..	146387592732915864985624173597461238821739456463852719318546927659278341274193685
.....8.5.9..5.......2.7.8.929..351.............419..378.9.4.3.......3..8.5.6.....	731928654968514273542376819297435186315867942684192537879241365126753498453689721
8.3.6..4.6.7.3..5....75.....72..3..9..6.9.4..5..4..71.....45....8..7.2.4.3..8.6.5	853162947627934158941758326472813569316597482598426713269345871185679234734281695
.54........7.8....62.34.5..19...4.....6.7.9.....9...26..8.23.19....5.4........85.	854169273937582164621347598192634785386275941475918326548723619269851437713496852
2.85.......6.41...3...6...7.957....14.......68....392.1...7...8...48.6.......67.3	218537469756941382349268157695724831423819576871653924164375298937482615582196743
...6.2.7.6.4.1...22..94...8....28.......9.......56....3...79..68...3.7.9.9.8.1...	159682374684713952273945168437128695568397421921564837312479586845236719796851243
..31.4...8..39541.......5...12.6..8.....5.....9..4.25...5.......39417..5...5.93..	953174628826395417174628593512963784648752139397841256485236971239417865761589342
...54...612.3.8.4...49162...5.6843.....7.3.....3291.5...51294...1.4.7.924...65...	379542816126378945584916237957684321241753689863291754735129468618437592492865173
1.8..3.4.........17.51.2......9...84...7.4...94...5......2.79.82.........1.3..4.7	128693745694578231735142869372961584851724693946835172463257918287419356519386427
5.2...4....465.9...9..7.16.74.9....6....4....2....6.84.86.1..5...7.826....1...8.3	562891437174653928893274165748925316635148792219736584386417259957382641421569873
.1.8.9.4.......1....9142......7953....3.8.4....1423......2547....5.......6.9.8.3.	716839245482576193359142687824795361593681472671423859938254716145367928267918534
...5..39..5....87....64...26..38..4...........8..16..58...51....91....3..67..4...	142578396356129874978643152629385741415792683783416925834951267591267438267834519
95.2....6...439....37.......4...83.1....2....3.29...6.......59....872...4....5.72	954287136621439857837561249749658321165723984382914765273146598596872413418395672
2.3....8...5...3..9...32.7.69...3......679......1...64.8.24...3..2...1...3....8.2	213765489875914326964832571698423715451679238327158964789241653542386197136597842
.......75..1357.8..478...1......8....9.536.4....4......6...529..7.6821..25.......	839214675621357984547869312415928736792536841386471529163745298974682153258193467
...2...1.....46..812.......419.......32.5.16.......472.......948..69.....9...4...	964285317357146928128379546419762853732458169685913472573821694841697235296534781
57.31..........157.1..7...3.9....83.....8.....58....6.9...4..1.841..........31.82	572319648389264157614578923297456831436182795158793264923847516841625379765931482
..432..8....4......27.9.....7.....36..19.47..24.....9.....7.56......9....5..483..	594321687813467952627895143978512436361984725245736891189273564436159278752648319
..836.9.5.7..4.3....5.....8..362.1..46.....39..1.354..9.....8....7.8..9.8.6.927..	218367945679548321345219678593624187462871539781935462924756813157483296836192754
7.3...62....4..83..28..91....6.9..1....651....7..4.5....45..78..17..4....65...4.1	743185629691472835528369174456793218382651947179248563934516782817924356265837491
.82.....1....3...7..6.81.3...93...1..3.....4..1...23...5.72.1..8...1....1.....97.	382974651491536287576281439649358712235197846718642395954723168867419523123865974
...1.9......5.41281.53.......1..5.......1.......4..8.......19.32196.7......9.8...	748129635963574128125386479891765342354812796672493851487251963219637584536948217
..3297......168..3..9.3..6..4........8.7.3.9........4..7..2.4..1..579......6841..	613297584457168923829435761346952817581743692792816345978321456164579238235684179
.........194.73.256.81.2....4.3.7.8.7.94256.1.1.9.6.7....8.14.346.23.718.........	372598146194673825658142397546317982789425631213986574927851463465239718831764259
97.6.8..3.6.793.8.8....5...42.......6...1...9.......21...5....8.8.934.1.2..8.1.95	974628153165793284832145967421389576658217439397456821719562348586934712243871695
....1...2....7...6..58..749.3.652.7.....4.....6.397.2.129..38..6...8....8...2....	376914582984275136215836749438652971792148365561397428129763854643589217857421693
....6..3845...1...6....4..55..2..8..9.......6..6..5..71..9....2...6...8186..5....	721569438453871269698324715517236894942718356386495127135987642279643581864152973
....1..454.2.........4.7692..6.....9..3...5..8.....4..5812.3.........7.167..4....	768912345492635178315487692126754839943168527857329416581273964234596781679841253
.......2..8.5......4..9..85..9.82...4286.5397...93.8..37..6..1......8.4..9.......	156873924982546173743291685639782451428615397517934862375469218261358749894127536
6.9..2..3...6.3..8.38.....4..3.6.48.4.......9.26.3.7..3.....29.9..4.6...5..3..8.6	649812573157643928238795614793561482415278369826934751364187295982456137571329846
2.......33.84..5..6...71..2..1.....97...9...48.....1..5..96...1..6..37.51.......8	214685973378429516659371482461758239732196854895234167587962341946813725123547698
1....2..9..3..5.2....8..3.5....2.6.....671.....8.3....2.9..6....5.9..8..3..2....7	165342789873195426924867315537428691492671538618539274249786153756913842381254967
.63.2..47...4..5....95..163......43.7.......9.84......247..13....1..5...85..7.91.	563129847178436592429587163692758431715364289384912675247891356931645728856273914
...2......5.43.791....15....93.6..1.6...5...9.1..2.36....64....936.87.4......3...	149278536258436791367915824793864215682351479415729368871642953936587142524193687
.7..63.5..2..4....3..7..41...43....9.........8....46...46..9..5....5..8..8.41..6.	471963852628145397359728416564381729137692548892574631246839175713256984985417263
8..516.4.5....3......8.....4.5621....1..8..3....4371.6.....8......7....2.7.362..5	892516347541273689367849521435621978716985234289437156624158793153794862978362415
.4..5.......43.....2.7..4139..54...2..8...3..4...98..1817..4.3.....75.......1..8.	743651298189432567625789413931546872568127349472398651817264935396875124254913786
.73..2......53....2.5...6...2.3..54835.124.76749..5.2...7...1.3....59......7..48.	973642815614538297285971634126397548358124976749865321497286153831459762562713489
.....6...6957.1...4........56.278..13..9.4..69..653.47........2...8.7165...3.....	831426579695781423427539618564278391372914856918653247786145932243897165159362784
6...4......1....48.743.1....4....9...53...86...6....1....1.847.42....1......6...9	692845731531697248874321695147586923953712864286439517369158472425973186718264359
.7..3..69.....73..35.6.4.....6.1......8.6.1......7.6.....2.8.73..37.....42..9..5.	872531469614927385359684712746319528298465137531872694165248973983756241427193856
14.9....7...54.21....6.8..9.197.3......896......1.498.9..2.5....26.89...4....1.92	148932567693547218752618349819723456534896721267154983981275634326489175475361892
..813.6.441...5......9....1..3.5..8.2.......7.6..8.2..9....6......4...388.1.739..	528137694419265873376948521193752486284619357765384219937826145652491738841573962
.4..8...9..5.1........27.....6....4.821.5.637.3....9.....29........4.7..5...7..9.	243685179675914823198327465956738241821459637437162958784293516369541782512876394
......7.....41.6....43.7215..879.......684.......328..2815.69....6.23.....9......	613258749725419638894367215348795126152684397967132854281546973576923481439871562
.....3..61.3..7...9....1.2..8.13465.....5.....95726.8..1.8....5...3..9.45..4.....	872543196163297548954681723287134659641958237395726481419862375728315964536479812
...435...........554....6.1...3..4....69748....4..6...8.5....291...........529...	691435278237861945548792631912358467356974812784216593865147329129683754473529186
....8..3.41.7.3..8.83.4...1...62...35..9.7..66...54...8...9.36.3..8.5.12.5..3....	796182534415763298283549671149628753538917426672354189827491365364875912951236847
..5.7..68.4.....321..6...4..7..2.6......8......3.6..7..3...6..448.....2.56..4.3..	325479168647851932198632547974523681256187493813964275731296854489315726562748319
8.9..3.21.35.8........92..8......78..73.4.56..86......7..81........3.14.32.5..8.6	849753621235681974167492358412965783973148562586327419794816235658239147321574896
..82....3.4..53..65..6.412............3.9.5............964.5..13..82..6.7....98..	968271453241953786537684129475318692123796548689542317896435271314827965752169834
..3..4..1.....76.25....6.........3..6.84391.7..2.........9....63.57.....9..1..2..	763284591814597632529316748497821365658439127132675984271943856385762419946158273
7...........76..5.194....3...16.57894..8.2..36891.34...4....372.1..37...........4	765319248238764951194258637321645789457892163689173425546981372812437596973526814
469....21..246....1........3.1.7...2...1.4...2...5.9.7........9....125..81....276	469537821582461793137298654351879462796124385248356917623785149974612538815943276
..7....6.4.2..........9.14...93...86..4.1.3..56...84...25.6..........5.1.4....6..	917423865452186793836597142179345286284619357563278419325861974698734521741952638
.8.6......6...784....1..296736..1.2....372....2.4..317695..8....127...5......9.6.	289654731163927845457183296736891524541372689928465317695218473312746958874539162
...1.....2.....9.6...5..2..5.....8.719.867.533.7.....9..3..1...9.8.....5.....8...	839126574215784936746539281564293817192867453387415629423651798978342165651978342
.37.1..952.1........4..3...7..32..8...3.4.9...8..61..3...4..3........7.834..8.15.	837614295291578634654293817719325486563847921482961573178459362925136748346782159
6.4...8..8..9..3...9....7..18...5...426.7.513...2...87..8....7...3..6..8..9...1.5	654137892872954361391682754187345926426879513935261487248513679513796248769428135
.6.9..8..9...4.....1..269......8.3..67.....48..1.6......467..1.....1...6..6..8.3.	462935871958741623713826954249187365675392148831564297384679512597213486126458739
........45..9.7.32.3....7.1...3.6.454.3.7.9.661.4.9...7.8....2.19.6.3..83........	879132564541967832236845791987316245453278916612459387768594123195623478324781659
.6...18...8.564.....483.961....1.....3.698.1.....2....395.862.....743.5...62...3.	263971845981564723574832961629315487437698512158427396395186274812743659746259138
.1....6..6.3748.......169....2..1...3.6.8.4.5...6..3....942.......8932.1..8....9.	214539687693748152785216934942351768376982415851674329139425876567893241428167593
......36..381....96.....71......625...5.1.4...124......96.....43....912..21......	147598362238167549659324718483976251765812493912453687596231874374689125821745936
...19..5.935......71..6..2.....7..4..7..1..8..5..4.....2..3..94......832.9..82...	862194357935728461714365928381576249479213685256849713128637594647951832593482176
3......9429..7.86.8....6..7....3..48....5....73..1....4..1....9.67.9..1291......6	376581294295374861841926357659732148182459673734618925423165789567893412918247536
5.42..61...........164.7958.8..4..69.5.826.3.46..7..8.8917.234...........45..91.2	574298613938651427216437958783145269159826734462973581891762345327514896645389172
...93465.....1..286..825...4..786.3....592....2.143..6...258..313..7.....72361...	287934651354617928691825347419786235863592174725143896946258713138479562572361489
1....75..359....6.........223..6....69.....23....9..569.........7....219..35....8	162937584359284761784156932231865497695471823847392156916728345578643219423519678
8..5..7..6..7....22..1.4.....8...6.7....6....7.3...4.....6.9..59....2..4..6..1..9	834526791615798342279134586198243657542867913763915428421679835957382164386451279
..6..8.7949..73.86....2....5....97.3.6..3..5.2.97....8....8....85.69..4767.3..8..	326458179495173286718926534584269713167834952239715468943587621851692347672341895
14.3..96.....4...5..3..2.8.2.4..9.......8.......5..7.1.9.6..2..3...9.....76..3.98	148357962927846315563912487214769853735281649689534721891675234352498176476123598
6.8..........3..8.4..78.3.5.....4.3.94.....78.8.9.....8.6.17..3.2..9..........8.2	638541927572639184419782365165874239943125678287963541856217493321498756794356812
...9......6..8...2.1..2....956..8..4...591...2..6..935....4..8.8...1..6......2...	742953618369187452518426793956238174473591826281674935625749381894315267137862549
.7.....92.5392.78..297.6.5....15..4.7.......5.3..64....1.4.392..62.9841.49.....3.	174385692653921784829746153286157349741839265935264871518473926362598417497612538
.....9.......2593.1..6..25...1.9.3.....283.....2.4.8...96..2..3.2435.......9.....	235419786648725931179638254481597362967283415352146879596872143824351697713964528
...4..9.174...9....91......47..9..1..1..6..2..2..8..94......28....9...738.4..3...	285476931743819652691235847478392516319564728526187394937641285162958473854723169
4...97..5...4.3.....16..2..82...1..33...6...25..3...18..5..64.....7.5...7..14...6	438297165652413987971658234829571643317864592546329718285936471164785329793142856
.7.3.........4.9.7.4....2.3.1...57..3579.1648..64...2.2.4....7.5.9.7.........3.9.	975312864623548917148796253412865739357921648896437521264189375539674182781253496
...7.6....5.....7.7.13........8..7.9..95743..4.6..3........56.8.8.....5....2.8...	392756814658142973741389526523861749819574362476923185237415698984637251165298437
3.9.26.8.512....4.......2.77...5..13641...75225..7...89.7.......2....874.3.71.5.9	379426185512837946486195237798254613641389752253671498967548321125963874834712569
6..2971..7..48...64...1..72......8.7..6...2..8.3......34..6...95...32..1..7941..5	635297148712485936498613572954326817176854293823179654341568729589732461267941385
..9........5..2....8.4....7..692318.593...672.185679..9....6.4....8..7........2..	329751468475682319681439527746923185593148672218567934957216843132894756864375291
18..2......5398......4...8...16......685.913......35...1...4......1856......3..18	189726453645398721273451986531672849768549132924813567817264395392185674456937218
..92.4...8..9..4..........9.2..968..1...5...3..583..2.2..........1..8..2...6.91..	519264387862973451374185269723496815186752943945831726238517694691348572457629138
92.7..3.1..1...279.........3.7....5....159....5....1.4.........162...7..8.5..7.13	926785341581634279473912586317426958248159637659378124734591862162843795895267413
..5....2.76..3.4.5.83....6....2.354....847....341.5....4....25.5.8.2..34.2....9..	495681723761932485283574169879263541152847396634195872947316258518729634326458917
..2....7878.4.......6...31.1.83....43...7...26....51.7.97...8.......1.4381....9..	932516478781439256546728319178362594359174682624985137497253861265891743813647925
.56..7.....9.2....2...4..6..953.6..2....7....8..4.237..1..8...5....3.1.....2..79.	356897241149623857287145963795316482423978516861452379912784635674539128538261794
......7.227...184.8...4...9.1......5...378...3......7.4...6...1.271...866.1......	146983752279651843835742619718426935952378164364519278483267591527194386691835427
...7...91.6.2...3..573.8...148.6..7...2...1...9..2.348...4.591..2...1.8.71...2...	234756891861249537957318624148563279372984156596127348683475912429631785715892463
........5.3...69..8....96..5...1...3.16.2.85.7...8...4..85....1..18...3.9........	694278315132456987857139642589614273416723859723985164378562491241897536965341728
27...3.....5.7.263......7..9.2.......63...47.......1.8..6......728.1.3.....6...17	279463581845179263631528749982741635163895472457236198516387924728914356394652817
...1.583..53..49.1......54..216.9......418......7.315..79......1.25..79..689.7...	946175832253864971817392546721659483395418627684723159579281364132546798468937215
...7...8......8..6.6...2.9.1...76549.8.345.2.64592...7.7.1...6.4..2......5...7...	234769185591438276768512394123876549987345621645921837872154963416293758359687412
..6...7.3...6749..9..23.4..769.....2....5....5.....639..4.89..6..7162...6.2...8..	426891753135674928978235461769318542243956187581427639314589276857162394692743815
86..32.5........4...9..4....16..5..324.897.657..3..49....6..2...9........3.24..17	864932751327516948159784326916425873243897165785361492471658239692173584538249617
3954.6..1.7....2.5..25..4.32.87...49.3.....1.65...43.25.3..79..7.1....5.9..8.5137	395426781174938265862571493218763549437259816659184372543617928781392654926845137
.6..1.8...51..6...........6..3..96...7948231...43..7..7...........2..46...2.3..7.	367915842251846937948723156183579624679482315524361798736154289815297463492638571
4....32.5..6..51...5......36.47.9...8.......6...6.24.71......3...73..8..3.52....1	481973265736825149952461783624759318879134526513682497148597632297316854365248971
..3.8.......7.5...69.3..15..8.4.7..2.4..1..7.5..8.3.1..17..4.65...5.6.......7.3..	753981246421765893698342157189457632342619578576823419817234965234596781965178324
7.4..2.5..........9.......12.18.4736...7.1...8473.92.53.......4..........7.9..6.3	764132958518496372923587461291854736635721849847369215356278194189643527472915683
2.3.1..6...17..4..6.72...91.1.6...8.96..5..32.3...1.7.37...28.6..6..92...2..6.9.7	253914768891736425647285391712693584968457132534821679379142856186579243425368917
.5...213...3...7......5.89.....1.2.31.2.8.6.53.5.6.....31.2......9...5...248...1.	958742136213698754467351892786915243192483675345267981831529467679134528524876319
......8..6..35.7....927.5..491.....5...9.4...2.....947..4.921....2.13..8..3......	527461839648359712319278564491726385735984621286135947864592173972613458153847296
.8.19......15.....7.53.2.1.......3..3.2...4.8..8.......2.8.51.7.....46......71.9.	283196574961547832745382916576418329312769458498253761629835147137924685854671293
91..2.3.4...93....2......89....1...33.15749.64...9....63......2....89...7.4.6..38	917826354845937261263451789529618473381574926476293815638745192152389647794162538
..3.....6....27......4631.5.4..8.5..5..394..1..1.7..6.6.8751......23....3.....9..	473915286165827439829463175247186593586394721931572864698751342754239618312648957
5..12..9..1.....5.3.974...118...9...7...6...3...5...182...548.9.5.....3..6..18..5	548126397617983254329745681185439726792861543436572918271354869854697132963218475
.31..4.....7....4..2..9...11.95...3.3...2...4.4...71.92...5..1..9....4.....6..29.	531764928967182543824395671179546832358921764642837159286459317795213486413678295
27......4.3.462.57.....36....49.67.56.......37.53.82....76.....16.537.4.9......76	276851394839462157541793628384926715692175483715348269427689531168537942953214876
....8.....4...71.8......6...78.1..9.4.53697.1.1..7.24...2......7.35...6.....9....	231986475946257138857143629378412596425369781619875243182634957793521864564798312
.....16.596......1.17...9..1...5....6.8.3.1.9....1...4..6...49.7......122.13.....	482971635965483721317562948134859276628734159579216384856127493743698512291345867
.31....29.4....37..6..24.....6...2...8.....9...2...6.....23..6..29....3.61....74.	831657429245819376967324158156793284384162597792548613478231965529476831613985742
1......84.2.4....3.37....9136..8..79..1.3.4..78..9..3261....94.8....6.2.57......6	156329784928471563437568291365284179291637458784195632613852947849716325572943816
.4....6.3.......1.....85...8..1..2644..827..9921..3..8...51.....8.......3.6....2.	542791683738642915619385472873159264465827139921463758297518346184236597356974821
...7...6........5.4.8.15973.9.5.6..75.6.9.1.22..4.1.9.86235.7.9.5........4...2...	935748261617239458428615973194526387576893142283471596862354719359167824741982635
67....4.84.59.7......46.....6..24....4.1.6.5....58..4.....42......6.19.78.6....24	679235418485917632312468579567324891948176253123589746791842365234651987856793124
..6.9.......467..2.7.2.1..92..6.397.6...1...8.479.2..67..8.4.9.9..176.......2.8..	526398714819467532374251689285643971693715428147982356762834195958176243431529867
5..........6..2.8..1....3..39...8.24..7.4.1..42.9...53..3....6..6.4..8..........1	582734916736192485914586372391658724657243198428971653143829567265417839879365241
3..1..927....58..4.....3...5...1..8..2.539.7..4..8...9...3.....7..89....913..4..8	358146927291758634674923815539417286826539471147682359485361792762895143913274568
....7.........2.5..7..4.9..9..7..435.4.9.3.8.835..4..9..8.1..7..5.8.........3....	561379824489162357372548961926781435147953286835624719298416573653897142714235698
8.27136.46.4.........46..2..2.64..8...........5..39.7..8..74.........4.77.69518.2	892713654634592718571468923923647581167825349458139276389274165215386497746951832
98....53.13.8..6...4.....1.....6.....94.8.37.....7.....2.....9...9..8.51.13....86	987614532132895647546732918378569124694281375251473869825146793769328451413957286
5.719.......5..1....2.7..5....2..98...58397...98..1....5..1.8....1..2.......874.5	587193246634528197912674358376245981125839764498761532759416823841352679263987415
...1498628....3....4...8..........7.5...1...8.8..........4...2....3....5138295...	375149862819623754642578139491832576563714298287956413956487321724361985138295647
8..2.9..6..5....822.......51.........98.6.45.........13.......964....3..9..3.6..4	813259746475613982269748135126534897798162453534897261357481629642975318981326574
51.8.4....49...5.7....2.41.3......2..9..8..7..2......4.31.5....9.2...35....1.2.69	513874296249361587687925413375416928194283675826597134731659842962748351458132769
..4....2.2.6...3..18937..5...12.......25.87.......12...6..23178..3...5.2.2....9..	354169827276854319189372456841237695692548731537691284965423178713986542428715963
..3.8..5..78..4..9.....3.6.9....1.82..58369..86.2....3.4.7.....7..4..32..8..6.4..	613982754278654139594173268937541682425836917861297543346725891759418326182369475
..2...5.878.9...1..95...2.7.5......22497.81631......5.8.1...97..3...9.269.4...3..	612437598783925614495681237358196742249758163176243859821364975537819426964572381
8..9.637.6.78......39..........7...8....9....3...5..........49......47.5.715.9..6	852916374647832519139745862294673158715298643386451927568327491923164785471589236
132.8......6.4......46.1.3..6.7....4.4..1..7.7....2.6..2.5.94......6.7......3.526	132985647986347152574621938269753814345816279718492365621579483453268791897134526
